player_name,Season,was_home,assists_(per_90),attempted_passes_(per_90),big_chances_created_(per_90),big_chances_missed_(per_90),completed_passes_(per_90),dribbles_(per_90),goals_scored_(per_90),key_passes_(per_90),offside_(per_90),tackled/lost_possession_(per_90),target_missed_(per_90),winning_goals_(per_90),tackles_(per_90),red_cards_(per_90),yellow_cards_(per_90)
Romelu Lukaku (18/19),18/19,0,0,21.67346939,0.183673469,0.551020408,14.96938776,0.826530612,0.367346939,1.010204082,1.193877551,0,0.459183673,0.091836735,0,0,0.091836735
Salomon Rondon (18/19),18/19,1,0.142743854,25.62252181,0.142743854,0.071371927,17.62886598,0.856463125,0.356859635,0.927835052,0.499603489,3.639968279,0.856463125,0.071371927,0.214115781,0,0
Salomon Rondon (18/19),18/19,0,0.402985075,25.3880597,0.134328358,0.201492537,18.13432836,0.268656716,0.402985075,1.276119403,0.873134328,3.358208955,1.276119403,0.134328358,0,0,0.067164179
Sergio Aguero (18/19),18/19,1,0.201042442,26.87267312,0.134028295,0.26805659,22.58376768,1.742367833,0.402084885,1.139240506,0.871183917,3.149664929,1.541325391,0.134028295,0.201042442,0,0.201042442
Sergio Aguero (18/19),18/19,0,0.646319569,30.05385996,0.323159785,0.646319569,25.85278276,1.615798923,1.211849192,1.373429084,1.0502693,2.989228007,1.696588869,0.403949731,0.242369838,0,0.080789946
Steve Mounie (18/19),18/19,1,0.353403141,29.45026178,0.235602094,0.117801047,19.08376963,0.589005236,0,0.942408377,0.706806283,2.238219895,0.82460733,0,0.471204188,0,0.117801047
Steve Mounie (18/19),18/19,0,0.089730808,27.54735793,0,0.538384845,17.67696909,0.628115653,0.179461615,0.897308076,0.807577268,1.884346959,1.794616152,0.089730808,0.179461615,0.089730808,0
Troy Deeney (18/19),18/19,1,0.288924559,30.77046549,0.433386838,0.216693419,19.21348315,0.288924559,0.433386838,1.805778491,0.505617978,1.805778491,1.011235955,0.144462279,0.216693419,0,0.144462279
Troy Deeney (18/19),18/19,0,0.069444444,27.84722222,0.208333333,0.347222222,16.59722222,0.208333333,0.208333333,1.180555556,0.416666667,1.736111111,0.416666667,0,0.347222222,0.069444444,0.138888889
Alexandre Lacazette (17/18),17/18,1,0.170777989,31.5085389,0.085388994,0.426944972,24.07969639,1.110056926,0.256166983,1.19544592,0.853889943,1.79316888,0.853889943,0.170777989,0.256166983,0,0.085388994
Alexandre Lacazette (17/18),17/18,0,0.236220472,28.03149606,0.31496063,0.62992126,21.49606299,1.496062992,0.866141732,1.732283465,1.023622047,2.992125984,0.472440945,0.157480315,0.866141732,0,0
Alvaro Morata (17/18),17/18,1,0.192307692,25.09615385,0.096153846,0.961538462,18.07692308,0.961538462,0.480769231,1.442307692,1.25,3.75,1.442307692,0.192307692,0.096153846,0,0.192307692
Alvaro Morata (17/18),17/18,0,0.321715818,25.4155496,0.241286863,0.402144772,18.57908847,1.769436997,0.482573727,1.689008043,1.286863271,4.101876676,1.126005362,0.241286863,0.402144772,0,0.402144772
Ashley Barnes (17/18),17/18,1,0,21.55688623,0.089820359,0.179640719,13.74251497,0.449101796,0.359281437,0.628742515,0.718562874,2.245508982,1.437125749,0.179640719,0.718562874,0,0.538922156
Ashley Barnes (17/18),17/18,0,0,20.54006969,0.078397213,0.078397213,11.75958188,0.783972125,0.391986063,0.783972125,1.411149826,2.116724739,0.940766551,0.078397213,0.391986063,0,0.31358885
Ayoze Perez (17/18),17/18,1,0.207532667,26.91006918,0.207532667,0.276710223,19.78478094,0.760953113,0.276710223,1.383551115,0.48424289,3.112990008,0.96848578,0.138355111,0.345887779,0,0.138355111
Ayoze Perez (17/18),17/18,0,0.227848101,25.36708861,0.303797468,0.075949367,17.46835443,1.443037975,0.303797468,1.139240506,0.53164557,4.17721519,0.759493671,0.075949367,0.683544304,0,0.075949367
Callum Wilson (17/18),17/18,1,0.096256684,17.90374332,0.096256684,0.096256684,12.60962567,0.86631016,0.288770053,0.770053476,1.443850267,3.176470588,0.385026738,0.192513369,0.385026738,0,0
Callum Wilson (17/18),17/18,0,0.086042065,17.98279159,0.086042065,0.602294455,12.99235182,0.774378585,0.430210325,0.86042065,0.430210325,3.011472275,1.462715105,0.086042065,0.258126195,0,0
Christian Benteke (17/18),17/18,1,0.343183985,27.54051478,0.171591992,0.772163966,15.87225929,0.772163966,0.171591992,1.286939943,0.514775977,1.715919924,0.772163966,0.085795996,0.171591992,0,0.257387989
Christian Benteke (17/18),17/18,0,0.227848101,26.81012658,0.075949367,0.835443038,14.81012658,0.607594937,0.075949367,0.911392405,0.53164557,1.594936709,1.443037975,0,0.227848101,0,0.227848101
Dominic Calvert-Lewin (17/18),17/18,1,0.482832618,23.56223176,0.193133047,0.289699571,14.00214592,1.545064378,0.096566524,1.158798283,0.482832618,2.800429185,0.579399142,0,0.386266094,0,0.193133047
Dominic Calvert-Lewin (17/18),17/18,0,0.287539936,23.57827476,0.383386581,0.287539936,14.85623003,0.479233227,0.287539936,0.862619808,0.958466454,2.875399361,0.958466454,0,0.287539936,0,0.191693291
Dwight Gayle (17/18),17/18,1,0,19.92290749,0,0.297356828,14.86784141,0.099118943,0.396475771,0.792951542,1.387665198,1.288546256,0.892070485,0,0.198237885,0,0.198237885
Dwight Gayle (17/18),17/18,0,0.260115607,20.28901734,0.260115607,0.606936416,14.21965318,0.606936416,0.173410405,1.213872832,0.693641618,1.734104046,1.12716763,0.086705202,0.606936416,0,0.086705202
Eric Maxim Choupo-Moting (17/18),17/18,1,0,26.10951009,0,0.172910663,19.19308357,2.766570605,0.086455331,0.778097983,0.518731988,3.631123919,0.691642651,0,1.21037464,0,0.172910663
Eric Maxim Choupo-Moting (17/18),17/18,0,0.375,24.975,0.3,0.075,18.15,2.1,0.3,0.9,0.6,4.125,1.275,0.075,0.675,0,0.075
Glenn Murray (17/18),17/18,1,0,25.39649846,0,0.463439753,13.53244078,0.092687951,0.463439753,0.926879506,1.390319258,1.946446962,0.741503605,0.185375901,0.370751802,0,0.185375901
Glenn Murray (17/18),17/18,0,0,28.56553998,0.148392415,0.370981039,16.3231657,0.370981039,0.519373454,0.519373454,1.483924155,2.374278648,0.964550701,0.148392415,0.593569662,0,0.519373454
